Client name,time
0,PT0.63575734S
1,PT0.593160713S
2,PT0.2560691S
3,PT0.148355432S
4,PT0.501158793S
5,PT0.387293525S
6,PT0.547269825S
7,PT0.304235909S
8,PT0.338018688S
9,PT0.390681373S
10,PT0.298995959S
11,PT0.387365595S
12,PT0.641032549S
13,PT0.387705316S
14,PT0.598228685S
15,PT0.599702986S
16,PT0.533368607S
17,PT0.53989861S
18,PT0.256432032S
19,PT0.388286868S
20,PT0.205668223S
21,PT0.497948155S
22,PT0.592811211S
23,PT0.385556518S
24,PT0.338329072S
25,PT0.532330219S
26,PT0.102697444S
27,PT0.401157829S
28,PT0.156117856S
29,PT0.599911677S
30,PT0.434731309S
31,PT0.483684337S
32,PT0.635122876S
33,PT0.249175363S
34,PT0.341617353S
35,PT0.593284252S
36,PT0.291482519S
37,PT0.390509545S
38,PT0.209807016S
39,PT0.640755986S
40,PT0.331899495S
41,PT0.306341117S
42,PT0.199735348S
43,PT0.592844984S
44,PT0.335599223S
45,PT0.340360205S
46,PT0.506815555S
47,PT0.107889305S
48,PT0.445765834S
49,PT0.092276382S
50,PT0.312942224S
51,PT0.506202645S
52,PT0.453893642S
53,PT0.599783187S
54,PT0.293525723S
55,PT0.343903972S
56,PT0.395942442S
57,PT0.542206138S
58,PT0.498710195S
59,PT0.462406827S
60,PT0.245962619S
61,PT0.340768669S
62,PT0.204104912S
63,PT0.34001351S
64,PT0.340992397S
65,PT0.34056345S
66,PT0.299144821S
67,PT0.092398829S
68,PT0.39107195S
69,PT0.301471704S
70,PT0.389344795S
71,PT0.198428851S
72,PT0.445221632S
73,PT0.202442307S
74,PT0.33530082S
75,PT0.342552484S
76,PT0.157648717S
77,PT0.53764136S
78,PT0.48840095S
79,PT0.294627227S
80,PT0.339540385S
81,PT0.301203378S
82,PT0.15915506S
83,PT0.250961136S
84,PT0.403477175S
85,PT0.297546333S
86,PT0.1967764S
87,PT0.302032358S
88,PT0.385871816S
89,PT0.537439026S
90,PT0.592883376S
91,PT0.110796312S
92,PT0.298295648S
93,PT0.149953577S
94,PT0.343392074S
95,PT0.195717325S
96,PT0.392343277S
97,PT0.644145207S
98,PT0.098074288S
99,PT0.250306392S
