Client name,time
0,PT0.7516897S
1,PT0.65427666S
2,PT0.750230373S
3,PT0.751102372S
4,PT0.665092627S
5,PT0.575573132S
6,PT0.855182438S
7,PT0.667796365S
8,PT0.576994176S
9,PT0.573584011S
10,PT0.956024535S
11,PT0.57980827S
12,PT0.670664128S
13,PT0.573860796S
14,PT0.577880606S
15,PT0.57128574S
16,PT0.661752885S
17,PT0.572400919S
18,PT0.576180658S
19,PT0.653006897S
20,PT0.656533941S
21,PT0.576469641S
22,PT0.572358312S
23,PT0.573051014S
24,PT0.658576744S
25,PT0.577225793S
26,PT0.646182852S
27,PT0.574495475S
28,PT0.66178608S
29,PT0.575094874S
30,PT0.656721432S
31,PT0.648699691S
32,PT0.655481695S
33,PT0.745148974S
34,PT0.663883117S
35,PT0.568376474S
36,PT0.574990901S
37,PT0.571019074S
38,PT0.572595384S
39,PT0.654892494S
40,PT0.573199712S
41,PT0.746930733S
42,PT0.565934347S
43,PT0.652021514S
44,PT0.746973308S
45,PT0.565131775S
46,PT0.650132327S
47,PT0.640171004S
48,PT0.568732631S
49,PT0.737458039S
